created_at,entry_id,field1,field2,field3
2023-07-12 06:12:31 UTC,1167,65.10000,25.40000,
2023-07-12 06:12:47 UTC,1168,65.00000,25.40000,
2023-07-12 06:13:03 UTC,1169,64.30000,25.30000,
2023-07-12 06:13:20 UTC,1170,64.00000,25.30000,
2023-07-12 06:13:37 UTC,1171,65.10000,25.20000,
2023-07-12 06:13:53 UTC,1172,65.20000,25.20000,
2023-07-12 06:14:09 UTC,1173,65.50000,25.30000,
2023-07-12 06:14:26 UTC,1174,65.00000,25.20000,
2023-07-12 06:14:42 UTC,1175,65.40000,25.20000,
2023-07-12 06:14:59 UTC,1176,65.40000,25.20000,
2023-07-12 06:15:15 UTC,1177,65.00000,25.20000,
2023-07-12 06:15:31 UTC,1178,65.10000,25.20000,
2023-07-12 06:15:48 UTC,1179,64.90000,25.20000,
2023-07-12 06:16:04 UTC,1180,65.10000,25.20000,
2023-07-12 06:16:20 UTC,1181,64.50000,25.30000,
2023-07-12 06:16:37 UTC,1182,64.60000,25.20000,
2023-07-12 06:16:53 UTC,1183,64.90000,25.30000,
2023-07-12 06:17:09 UTC,1184,64.80000,25.20000,
2023-07-12 06:17:25 UTC,1185,64.20000,25.20000,
2023-07-12 06:17:42 UTC,1186,64.00000,25.20000,
2023-07-12 06:17:58 UTC,1187,64.00000,25.20000,
2023-07-12 06:18:14 UTC,1188,64.70000,25.20000,
2023-07-12 06:18:32 UTC,1189,64.50000,25.20000,
2023-07-12 06:18:48 UTC,1190,64.50000,25.20000,
2023-07-12 06:19:04 UTC,1191,64.60000,25.20000,
2023-07-12 06:19:44 UTC,1192,66.50000,25.30000,
2023-07-12 06:20:00 UTC,1193,64.20000,24.00000,
2023-07-12 06:20:16 UTC,1194,64.20000,25.40000,
2023-07-12 06:20:33 UTC,1195,64.10000,25.40000,
2023-07-12 06:20:49 UTC,1196,64.00000,25.40000,
2023-07-12 06:21:05 UTC,1197,64.00000,25.50000,
2023-07-12 06:21:23 UTC,1198,64.50000,25.70000,
2023-07-12 06:21:39 UTC,1199,64.20000,25.80000,
2023-07-12 06:21:56 UTC,1200,63.60000,25.90000,
2023-07-12 06:22:12 UTC,1201,63.10000,26.10000,
2023-07-12 06:22:29 UTC,1202,62.70000,26.10000,
2023-07-12 06:22:46 UTC,1203,62.50000,26.20000,
2023-07-12 06:23:07 UTC,1204,62.40000,26.30000,
2023-07-12 06:23:25 UTC,1205,61.80000,26.40000,
2023-07-12 06:23:43 UTC,1206,62.90000,26.20000,
2023-07-12 06:23:59 UTC,1207,61.00000,24.40000,
2023-07-12 06:24:16 UTC,1208,61.60000,26.30000,
2023-07-12 06:24:32 UTC,1209,61.70000,26.30000,
2023-07-12 06:24:49 UTC,1210,61.50000,26.20000,
2023-07-12 06:25:05 UTC,1211,63.70000,26.40000,
2023-07-12 06:25:24 UTC,1212,61.50000,26.10000,
2023-07-12 06:25:40 UTC,1213,61.70000,24.30000,
2023-07-12 06:25:57 UTC,1214,60.80000,25.10000,
2023-07-12 06:26:13 UTC,1215,63.00000,27.90000,
